epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.424748,0.858452,1.225870,0.264226,0.00090451
2,stage1,0.391397,0.879793,1.348946,0.252628,0.00065451
3,stage1,0.384416,0.887630,1.198292,0.222726,0.00034549
4,stage1,0.382938,0.889767,1.235024,0.259514,0.00009549
5,stage1,0.377670,0.890674,1.254911,0.269663,0.00000000
6,stage2,0.242024,0.988860,0.858947,0.328380,0.00009891
7,stage2,0.211545,0.999417,0.990863,0.394165,0.00009568
8,stage2,0.206164,0.999773,0.869640,0.445632,0.00009045
9,stage2,0.203811,0.999870,0.962344,0.447807,0.00008346
10,stage2,0.202300,1.000000,1.015657,0.444183,0.00007500
11,stage2,0.201386,0.999903,0.933740,0.465205,0.00006545
12,stage2,0.200614,1.000000,1.072682,0.443277,0.00005523
13,stage2,0.200001,0.999968,1.140614,0.463030,0.00004477
14,stage2,0.199734,0.999935,1.305100,0.441827,0.00003455
15,stage2,0.199560,1.000000,1.288282,0.441827,0.00002500
16,stage2,0.199323,0.999935,1.212037,0.445995,0.00001654
