epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.300672,0.946567,0.955006,0.383110,0.00090451
2,stage1,0.254478,0.977494,0.932599,0.393802,0.00065451
3,stage1,0.240520,0.985719,0.929298,0.411018,0.00034549
4,stage1,0.235871,0.987727,0.768256,0.535883,0.00009549
5,stage1,0.232383,0.988860,0.795766,0.501812,0.00000000
6,stage2,0.223783,0.993977,0.829081,0.509242,0.00000989
7,stage2,0.216547,0.997474,0.812940,0.530083,0.00000957
8,stage2,0.214299,0.998187,0.742973,0.551468,0.00000905
9,stage2,0.212452,0.998640,0.827974,0.494744,0.00000835
10,stage2,0.211343,0.998996,0.753665,0.538963,0.00000750
11,stage2,0.210826,0.998802,0.827017,0.483509,0.00000655
12,stage2,0.209866,0.999449,0.761489,0.517941,0.00000552
13,stage2,0.209056,0.999611,0.858590,0.474085,0.00000448
