epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.625534,0.949417,4.846745,0.406125,0.00090451
2,stage1,0.313973,0.977332,5.981845,0.315694,0.00065451
3,stage1,0.283877,0.983290,5.751973,0.446539,0.00034549
4,stage1,0.265892,0.987209,5.305249,0.476260,0.00009549
5,stage1,0.256125,0.989508,5.555864,0.451975,0.00000000
6,stage2,0.234032,0.994948,5.404388,0.485683,0.00000989
7,stage2,0.224007,0.996956,5.565329,0.488945,0.00000957
8,stage2,0.219257,0.998025,5.474542,0.466473,0.00000905
9,stage2,0.216550,0.998543,5.616213,0.508880,0.00000835
10,stage2,0.214108,0.999061,5.774588,0.450526,0.00000750
11,stage2,0.214365,0.999288,5.297598,0.455419,0.00000655
12,stage2,0.212309,0.999385,5.358710,0.445632,0.00000552
13,stage2,0.212212,0.999288,5.942885,0.423523,0.00000448
14,stage2,0.210760,0.999514,5.650567,0.440377,0.00000345
