epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.519850,0.786852,0.915326,0.495107,0.00090451
2,stage1,0.490705,0.814767,0.949020,0.485502,0.00065451
3,stage1,0.484410,0.818685,0.920531,0.483327,0.00034549
4,stage1,0.479379,0.822118,0.960269,0.483327,0.00009549
5,stage1,0.481418,0.819462,0.925573,0.491845,0.00000000
6,stage2,0.479773,0.823543,0.925778,0.491845,0.00009891
7,stage2,0.477212,0.824611,0.955950,0.482602,0.00009568
8,stage2,0.477563,0.824288,0.931448,0.487133,0.00009045
9,stage2,0.478198,0.822215,0.916966,0.488583,0.00008346
10,stage2,0.475744,0.825972,0.938533,0.491845,0.00007500
