epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,1.339405,0.860395,4.067195,0.445814,0.00090451
2,stage1,0.702579,0.924709,4.268756,0.522653,0.00065451
3,stage1,0.588712,0.938828,4.068529,0.526640,0.00034549
4,stage1,0.530044,0.946373,4.257375,0.498731,0.00009549
5,stage1,0.498802,0.953433,4.729021,0.506524,0.00000000
6,stage2,0.406284,0.969203,4.392132,0.508155,0.00000989
7,stage2,0.341537,0.983323,4.691236,0.509424,0.00000957
8,stage2,0.314436,0.989540,5.037635,0.508880,0.00000905
9,stage2,0.299058,0.992487,4.975842,0.591700,0.00000835
10,stage2,0.290459,0.993912,4.746698,0.539870,0.00000750
11,stage2,0.285385,0.994171,4.851522,0.603842,0.00000655
12,stage2,0.279155,0.995855,4.425777,0.568141,0.00000552
13,stage2,0.276423,0.996956,4.986773,0.578652,0.00000448
14,stage2,0.273891,0.996665,4.925367,0.567778,0.00000345
15,stage2,0.271142,0.997312,4.848904,0.575390,0.00000250
16,stage2,0.270801,0.997895,5.103161,0.567597,0.00000165
