epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.270821,0.895087,1.295252,0.379979,0.00090451
2,stage1,0.193033,0.926436,1.422897,0.404968,0.00065451
3,stage1,0.185820,0.926699,1.643559,0.327356,0.00034549
4,stage1,0.179818,0.929992,1.635630,0.382184,0.00009549
5,stage1,0.175615,0.932626,1.711716,0.345730,0.00000000
6,stage2,0.022870,0.991866,5.378065,0.268852,0.00009891
7,stage2,0.003491,0.998946,6.878925,0.064971,0.00009568
8,stage2,0.002349,0.999012,7.441975,0.322211,0.00009045
9,stage2,0.001630,0.999374,6.169249,0.201088,0.00008346
10,stage2,0.002597,0.999045,7.205283,0.259885,0.00007500
