epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.081149,0.971450,2.493835,0.413788,0.00090451
2,stage1,0.034692,0.988409,3.043551,0.322652,0.00065451
3,stage1,0.022637,0.992558,3.444042,0.359400,0.00034549
4,stage1,0.014864,0.994929,3.403592,0.332206,0.00009549
5,stage1,0.011815,0.995983,3.255292,0.352051,0.00000000
6,stage2,0.011463,0.996509,4.953016,0.250331,0.00009891
7,stage2,0.004242,0.998847,3.593154,0.299133,0.00009568
8,stage2,0.002573,0.999276,4.488766,0.256064,0.00009045
9,stage2,0.002208,0.999243,5.020782,0.387035,0.00008346
10,stage2,0.001146,0.999769,4.163033,0.341467,0.00007500
