epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.564616,0.700112,0.697588,0.496105,0.00090451
2,stage1,0.536330,0.726785,0.653744,0.553726,0.00065451
3,stage1,0.525669,0.735248,0.708648,0.485962,0.00034549
4,stage1,0.518601,0.737684,0.759607,0.468029,0.00009549
5,stage1,0.513690,0.742097,0.723136,0.490519,0.00000000
6,stage2,0.517731,0.738277,0.677307,0.545348,0.00009891
7,stage2,0.518392,0.739463,0.704602,0.501249,0.00009568
8,stage2,0.516946,0.742426,0.712325,0.496105,0.00009045
9,stage2,0.514318,0.741899,0.700871,0.498457,0.00008346
10,stage2,0.513505,0.744040,0.668088,0.577980,0.00007500
11,stage2,0.517874,0.737750,0.705576,0.503160,0.00006545
12,stage2,0.519185,0.739265,0.735698,0.471851,0.00005523
13,stage2,0.514391,0.743414,0.669625,0.566074,0.00004477
14,stage2,0.511330,0.745456,0.690227,0.504336,0.00003455
15,stage2,0.514212,0.739298,0.703816,0.498163,0.00002500
