epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.426713,0.856218,1.115167,0.279630,0.00090451
2,stage1,0.391024,0.882578,1.288093,0.251178,0.00065451
3,stage1,0.384520,0.888698,1.132092,0.285792,0.00034549
4,stage1,0.380071,0.889573,1.185585,0.247553,0.00009549
5,stage1,0.381626,0.888115,1.214536,0.233055,0.00000000
6,stage2,0.243038,0.987824,0.792154,0.514136,0.00009891
7,stage2,0.211220,0.999676,0.837274,0.480065,0.00009568
8,stage2,0.205875,0.999903,0.824751,0.540051,0.00009045
9,stage2,0.203822,0.999935,0.898248,0.469917,0.00008346
10,stage2,0.202273,0.999968,0.855399,0.524647,0.00007500
11,stage2,0.201418,0.999838,0.837082,0.579920,0.00006545
12,stage2,0.200794,0.999838,0.883490,0.596049,0.00005523
13,stage2,0.200196,0.999870,0.973393,0.537876,0.00004477
14,stage2,0.199687,1.000000,0.913348,0.584632,0.00003455
15,stage2,0.199470,0.999935,1.105230,0.454694,0.00002500
16,stage2,0.199313,0.999968,0.942386,0.471366,0.00001654
17,stage2,0.199194,0.999968,0.843170,0.573215,0.00000955
