epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.322903,0.868108,0.466905,0.764447,0.00090451
2,stage1,0.244370,0.900361,0.401804,0.819196,0.00065451
3,stage1,0.233147,0.904008,0.399729,0.827307,0.00034549
4,stage1,0.219740,0.911403,0.442842,0.787766,0.00009549
5,stage1,0.227439,0.907990,0.397670,0.815985,0.00000000
6,stage2,0.096016,0.965137,0.387473,0.874789,0.00000989
7,stage2,0.032169,0.989260,0.374793,0.881210,0.00000957
8,stage2,0.017220,0.994881,0.551618,0.855694,0.00000905
9,stage2,0.010456,0.996888,0.572350,0.831193,0.00000835
10,stage2,0.008053,0.997524,0.604905,0.836769,0.00000750
11,stage2,0.005676,0.998160,0.707352,0.828320,0.00000655
12,stage2,0.004714,0.998160,0.852277,0.820210,0.00000552
