epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.102946,0.963129,0.279801,0.869382,0.00090451
2,stage1,0.043935,0.985546,0.677076,0.860933,0.00065451
3,stage1,0.029157,0.989996,0.433933,0.871916,0.00034549
4,stage1,0.024496,0.992037,0.319646,0.902332,0.00009549
5,stage1,0.017016,0.994245,0.483962,0.874451,0.00000000
6,stage2,0.011936,0.996253,0.502668,0.882731,0.00000989
7,stage2,0.009044,0.996888,0.418568,0.887969,0.00000957
8,stage2,0.007467,0.997658,0.596521,0.884420,0.00000905
9,stage2,0.005056,0.998327,0.438346,0.891517,0.00000835
10,stage2,0.003511,0.998796,0.643271,0.864481,0.00000750
