epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.572931,0.688537,0.655131,0.594120,0.00090451
2,stage1,0.547027,0.713564,0.632843,0.622846,0.00065451
3,stage1,0.540643,0.715337,0.629210,0.631632,0.00034549
4,stage1,0.537213,0.719285,0.627292,0.644306,0.00009549
5,stage1,0.533912,0.719185,0.621982,0.629267,0.00000000
6,stage2,0.533059,0.723267,0.627763,0.645150,0.00009891
7,stage2,0.532609,0.721059,0.619493,0.630449,0.00009568
8,stage2,0.531702,0.722363,0.610810,0.628084,0.00009045
9,stage2,0.531346,0.724338,0.614923,0.623184,0.00008346
10,stage2,0.532974,0.719419,0.621517,0.638391,0.00007500
11,stage2,0.530668,0.723066,0.613019,0.619635,0.00006545
